PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f48c8e21, ar: 428, fc: 131, num_access: 434, ar_ratio: 98.6 , fc_ratio: 30.2
PAGE pfn: 0x7f48c8e22, ar: 343, fc: 65, num_access: 345, ar_ratio: 99.4 , fc_ratio: 18.8
PAGE pfn: 0x7f48c8e23, ar: 399, fc: 74, num_access: 403, ar_ratio: 99.0 , fc_ratio: 18.4
PAGE pfn: 0x7f48c8c7f, ar: 534, fc: 127, num_access: 541, ar_ratio: 98.7 , fc_ratio: 23.5
PAGE pfn: 0x7f48c8e25, ar: 834, fc: 189, num_access: 844, ar_ratio: 98.8 , fc_ratio: 22.4
PAGE pfn: 0x7f48c8c78, ar: 1857, fc: 645, num_access: 2058, ar_ratio: 90.2 , fc_ratio: 31.3
PAGE pfn: 0x7f48c8c1a, ar: 1099, fc: 873, num_access: 1818, ar_ratio: 60.5 , fc_ratio: 48.0
PAGE pfn: 0x7f48c8c2d, ar: 737, fc: 402, num_access: 827, ar_ratio: 89.1 , fc_ratio: 48.6
PAGE pfn: 0x7f48c8c2e, ar: 2662, fc: 469, num_access: 2741, ar_ratio: 97.1 , fc_ratio: 17.1
PAGE pfn: 0x7f48c8c1b, ar: 689, fc: 359, num_access: 886, ar_ratio: 77.8 , fc_ratio: 40.5
PAGE pfn: 0x7f48c8c80, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c79, ar: 1682, fc: 431, num_access: 1720, ar_ratio: 97.8 , fc_ratio: 25.1
PAGE pfn: 0x7f48c8c21, ar: 783, fc: 257, num_access: 798, ar_ratio: 98.1 , fc_ratio: 32.2
PAGE pfn: 0x7f48c8c0f, ar: 674, fc: 306, num_access: 767, ar_ratio: 87.9 , fc_ratio: 39.9
PAGE pfn: 0x7f48c8c81, ar: 672, fc: 169, num_access: 681, ar_ratio: 98.7 , fc_ratio: 24.8
PAGE pfn: 0x7f48c8c2b, ar: 649, fc: 190, num_access: 660, ar_ratio: 98.3 , fc_ratio: 28.8
PAGE pfn: 0x7f48c8c16, ar: 912, fc: 161, num_access: 933, ar_ratio: 97.7 , fc_ratio: 17.3
PAGE pfn: 0x7f48c8c26, ar: 909, fc: 308, num_access: 932, ar_ratio: 97.5 , fc_ratio: 33.0
PAGE pfn: 0x7f48c8c18, ar: 812, fc: 234, num_access: 840, ar_ratio: 96.7 , fc_ratio: 27.9
PAGE pfn: 0x7f48c8c1c, ar: 751, fc: 534, num_access: 1132, ar_ratio: 66.3 , fc_ratio: 47.2
PAGE pfn: 0x7f48c8c0a, ar: 849, fc: 227, num_access: 866, ar_ratio: 98.0 , fc_ratio: 26.2
PAGE pfn: 0x7f48c8c11, ar: 806, fc: 279, num_access: 819, ar_ratio: 98.4 , fc_ratio: 34.1
PAGE pfn: 0x7f48c8c14, ar: 799, fc: 229, num_access: 810, ar_ratio: 98.6 , fc_ratio: 28.3
PAGE pfn: 0x7f48c8c1f, ar: 990, fc: 227, num_access: 1001, ar_ratio: 98.9 , fc_ratio: 22.7
PAGE pfn: 0x7f48c8c0e, ar: 699, fc: 158, num_access: 724, ar_ratio: 96.5 , fc_ratio: 21.8
PAGE pfn: 0x7f48c8c12, ar: 672, fc: 229, num_access: 701, ar_ratio: 95.9 , fc_ratio: 32.7
PAGE pfn: 0x7f48c8c27, ar: 941, fc: 171, num_access: 952, ar_ratio: 98.8 , fc_ratio: 18.0
PAGE pfn: 0x7f48c8c15, ar: 696, fc: 247, num_access: 719, ar_ratio: 96.8 , fc_ratio: 34.4
PAGE pfn: 0x7f48c8c0b, ar: 840, fc: 366, num_access: 901, ar_ratio: 93.2 , fc_ratio: 40.6
PAGE pfn: 0x7f48c8c17, ar: 834, fc: 235, num_access: 880, ar_ratio: 94.8 , fc_ratio: 26.7
