PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f01b7c21, ar: 783, fc: 47, num_access: 798, ar_ratio: 98.1 , fc_ratio: 5.9
PAGE pfn: 0x7f01b7c0f, ar: 674, fc: 105, num_access: 767, ar_ratio: 87.9 , fc_ratio: 13.7
PAGE pfn: 0x7f01b7c81, ar: 672, fc: 41, num_access: 681, ar_ratio: 98.7 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c2b, ar: 649, fc: 63, num_access: 660, ar_ratio: 98.3 , fc_ratio: 9.5
PAGE pfn: 0x7f01b7c16, ar: 912, fc: 45, num_access: 933, ar_ratio: 97.7 , fc_ratio: 4.8
PAGE pfn: 0x7f01b7c26, ar: 909, fc: 83, num_access: 932, ar_ratio: 97.5 , fc_ratio: 8.9
PAGE pfn: 0x7f01b7c18, ar: 812, fc: 51, num_access: 840, ar_ratio: 96.7 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7c1c, ar: 751, fc: 417, num_access: 1132, ar_ratio: 66.3 , fc_ratio: 36.8
PAGE pfn: 0x7f01b7c0a, ar: 849, fc: 21, num_access: 866, ar_ratio: 98.0 , fc_ratio: 2.4
PAGE pfn: 0x7f01b7c11, ar: 806, fc: 52, num_access: 819, ar_ratio: 98.4 , fc_ratio: 6.3
PAGE pfn: 0x7f01b7c14, ar: 799, fc: 36, num_access: 810, ar_ratio: 98.6 , fc_ratio: 4.4
PAGE pfn: 0x7f01b7c1f, ar: 990, fc: 96, num_access: 1001, ar_ratio: 98.9 , fc_ratio: 9.6
PAGE pfn: 0x7f01b7c0e, ar: 699, fc: 47, num_access: 724, ar_ratio: 96.5 , fc_ratio: 6.5
PAGE pfn: 0x7f01b7c12, ar: 672, fc: 57, num_access: 701, ar_ratio: 95.9 , fc_ratio: 8.1
PAGE pfn: 0x7f01b7c27, ar: 941, fc: 45, num_access: 952, ar_ratio: 98.8 , fc_ratio: 4.7
PAGE pfn: 0x7f01b7c15, ar: 696, fc: 47, num_access: 719, ar_ratio: 96.8 , fc_ratio: 6.5
PAGE pfn: 0x7f01b7c0b, ar: 840, fc: 146, num_access: 901, ar_ratio: 93.2 , fc_ratio: 16.2
PAGE pfn: 0x7f01b7c17, ar: 834, fc: 75, num_access: 880, ar_ratio: 94.8 , fc_ratio: 8.5
PAGE pfn: 0x7f01b7c2a, ar: 1121, fc: 23, num_access: 1132, ar_ratio: 99.0 , fc_ratio: 2.0
PAGE pfn: 0x7f01b7c19, ar: 568, fc: 61, num_access: 591, ar_ratio: 96.1 , fc_ratio: 10.3
PAGE pfn: 0x7f01b7c2c, ar: 702, fc: 74, num_access: 742, ar_ratio: 94.6 , fc_ratio: 10.0
PAGE pfn: 0x7f01b7c82, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c25, ar: 783, fc: 110, num_access: 798, ar_ratio: 98.1 , fc_ratio: 13.8
PAGE pfn: 0x7f01b7c1d, ar: 904, fc: 23, num_access: 927, ar_ratio: 97.5 , fc_ratio: 2.5
PAGE pfn: 0x7f01b7c22, ar: 842, fc: 111, num_access: 868, ar_ratio: 97.0 , fc_ratio: 12.8
PAGE pfn: 0x7f01b7c10, ar: 998, fc: 70, num_access: 1021, ar_ratio: 97.7 , fc_ratio: 6.9
PAGE pfn: 0x7f01b7c29, ar: 831, fc: 98, num_access: 864, ar_ratio: 96.2 , fc_ratio: 11.3
PAGE pfn: 0x7f01b7c0d, ar: 926, fc: 129, num_access: 949, ar_ratio: 97.6 , fc_ratio: 13.6
PAGE pfn: 0x7f01b7c1e, ar: 969, fc: 34, num_access: 982, ar_ratio: 98.7 , fc_ratio: 3.5
PAGE pfn: 0x7f01b7c20, ar: 971, fc: 23, num_access: 982, ar_ratio: 98.9 , fc_ratio: 2.3
PAGE pfn: 0x7f01b7c24, ar: 821, fc: 93, num_access: 881, ar_ratio: 93.2 , fc_ratio: 10.6
PAGE pfn: 0x7f01b7c2f, ar: 1890, fc: 166, num_access: 1912, ar_ratio: 98.8 , fc_ratio: 8.7
PAGE pfn: 0x7f01b7c83, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c30, ar: 2727, fc: 225, num_access: 2811, ar_ratio: 97.0 , fc_ratio: 8.0
PAGE pfn: 0x7f01b7c23, ar: 817, fc: 50, num_access: 834, ar_ratio: 98.0 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c31, ar: 2107, fc: 247, num_access: 2186, ar_ratio: 96.4 , fc_ratio: 11.3
PAGE pfn: 0x7f01b7c0c, ar: 620, fc: 59, num_access: 643, ar_ratio: 96.4 , fc_ratio: 9.2
PAGE pfn: 0x7f01b7c13, ar: 893, fc: 62, num_access: 909, ar_ratio: 98.2 , fc_ratio: 6.8
PAGE pfn: 0x7f01b7c84, ar: 672, fc: 41, num_access: 681, ar_ratio: 98.7 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c28, ar: 618, fc: 11, num_access: 629, ar_ratio: 98.3 , fc_ratio: 1.7
PAGE pfn: 0x7f01b7c32, ar: 1217, fc: 140, num_access: 1277, ar_ratio: 95.3 , fc_ratio: 11.0
